,article_title,country,population,region,revision_id,article_quality
195,Loknath Sharma,Bhutan,0.8,SOUTH ASIA,1099839678,Start
196,Tenzin (politician),Bhutan,0.8,SOUTH ASIA,1017464973,Stub
197,Sonam Tobgye,Bhutan,0.8,SOUTH ASIA,1088131266,Start
198,Dorji Tshering,Bhutan,0.8,SOUTH ASIA,1023360934,Start
199,Kinga Tshering,Bhutan,0.8,SOUTH ASIA,1111838853,Start
200,Namgay Tshering,Bhutan,0.8,SOUTH ASIA,1062630670,Start
201,Ugyen Tshering,Bhutan,0.8,SOUTH ASIA,1068931844,Stub
202,Jigme Wangchuk,Bhutan,0.8,SOUTH ASIA,1076705305,Stub
203,Lhatu Wangchuk,Bhutan,0.8,SOUTH ASIA,1077117615,Stub
204,Khandu Wangchuk,Bhutan,0.8,SOUTH ASIA,1082071070,Start
205,Norbu Wangchuk,Bhutan,0.8,SOUTH ASIA,1105642733,Stub
206,Tshering Wangchuk,Bhutan,0.8,SOUTH ASIA,1098122862,Start
207,Karma Donnen Wangdi,Bhutan,0.8,SOUTH ASIA,1013757910,Start
208,Tshencho Wangdi,Bhutan,0.8,SOUTH ASIA,935053725,Start
209,Ugyen Wangdi,Bhutan,0.8,SOUTH ASIA,1010522641,Stub
210,Dechen Wangmo (politician),Bhutan,0.8,SOUTH ASIA,1109945331,Start
211,Dechen Zangmo,Bhutan,0.8,SOUTH ASIA,1095618727,Stub
212,Neten Zangmo,Bhutan,0.8,SOUTH ASIA,1087879345,Start
213,Nidup Zangpo,Bhutan,0.8,SOUTH ASIA,1083086732,Stub
214,Yeshey Zimba,Bhutan,0.8,SOUTH ASIA,1082071369,Start
215,K. G. Adiyodi,India,1417.2,SOUTH ASIA,1115170120,Stub
216,Ashok Kumar Gupta,India,1417.2,SOUTH ASIA,1114969496,C
217,Ranjit Singh Balian,India,1417.2,SOUTH ASIA,1099961285,Stub
218,Bankim Chandra Ray,India,1417.2,SOUTH ASIA,1114709001,Start
219,Banwari Lal Sharma,India,1417.2,SOUTH ASIA,1111275823,Stub
220,Bhikhabhai Baraiya,India,1417.2,SOUTH ASIA,1115381646,Stub
221,Tanmoy Bhattacharya,India,1417.2,SOUTH ASIA,1096443647,Stub
222,Dharmajan Bolgatty,India,1417.2,SOUTH ASIA,1115174991,GA
223,Sushanta Borgohain,India,1417.2,SOUTH ASIA,1096051172,Stub
224,Prabhabati Bose,India,1417.2,SOUTH ASIA,1073867601,Start
225,Adesh Kanwarjit Singh Brar,India,1417.2,SOUTH ASIA,1101123268,Start
226,Karan Kaur Brar,India,1417.2,SOUTH ASIA,1096287242,Start
227,Chabilal Upadhyaya,India,1417.2,SOUTH ASIA,1106107039,Start
228,Choorayi Kanaran,India,1417.2,SOUTH ASIA,1098285322,Stub
229,Dilip Choudhary,India,1417.2,SOUTH ASIA,1111277464,Stub
230,Mukesh Choudhary (politician),India,1417.2,SOUTH ASIA,1107220568,Start
231,Nandita Chowdhury,India,1417.2,SOUTH ASIA,1105758179,Stub
232,Zahur Ahmad Chowdhury,India,1417.2,SOUTH ASIA,1092910022,Start
233,Vimal Chudasama,India,1417.2,SOUTH ASIA,1115707614,Stub
234,Abdul Rashid Dar,India,1417.2,SOUTH ASIA,1106035212,Start
